1,0,-65.83334,0.7333333,125,3.08305,25,5,1,10,0,15
1,1,-40.83334,0.7333333,125,3.105221,25,5,1,10,0,15
1,2,-10.27779,0.7333333,125,3.132365,25,5,1,10,0,15
1,3,14.72221,0.7333333,125,3.154585,25,5,1,10,0,15
1,4,45.27777,0.7333333,125,3.181724,25,5,1,10,0,15
1,5,70.27777,0.7333333,125,3.203886,25,5,1,10,0,15
1,6,-10.27779,0.7333333,187.5,3.132845,25,5,1,10,0,15
1,7,14.72221,0.7333333,187.5,3.153898,25,5,1,10,0,15
1,8,-10.27779,0.7333333,145.8125,3.13253,25,5,1,10,0,15
1,9,14.72221,0.7333333,145.8125,3.154347,25,5,1,10,0,15
